References	Qty	Description	Manufacturer	MPN	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
BACK1, FRONT1	2										
R11, R12	2	22 ohm  0603	BI Technologies	BCN164A220J7		BI Technologies BCN164A220J7	1276-5022-1-ND	BLM03PX220SN1D		39K0094	9331891
C1, C3, C11	3	1uF  0603	Murata	GRM188R61E105KA12D		Murata GRM188R61E105KA12D	490-6974-1-ND	06033D105MAT2A	391050	95W9127	2496835
R17, R18, R19, R20	4	1k  0603	Multicomp	MCMR06X102 JTL		Multicomp MCMR06X102 JTL	478-7897-1-ND	CRCW06031K00FKEAHP	8206776	68R2989	2502396
C2, C6, C7	3	10uF  0603	KEMET	C0603C106M9PACTU		GRT188R61E106ME13D		0603YC104KAT4A	6983263	37T9048	2456110
R21, R24	2										
C4, C14	2	4.7uF  0603	TDK	CGA3E1X5R0J475K080AC			445-6934-1-ND	06034D475KAT2A	6983248	96M1296	2346974
R22, R25	2										
C5	1	0.01uF  0603	TDK	CEU3E2X7R1H103K080AE			445-7846-1-ND	06035C103K4T2A	6983254	94W2850	2210693
R26, R27	2										
C8, C9, C10, C12, C13	5	0.1uF  0603		0603B104K250CT		0603B104K250CT					2496833
SW1	1	SW PUSH SMALL Momentary SW SPST		KMR421NGLFS							
C15	1										
U1	1			LT1761ES5-3.3			LT1761ES5-3.3#TRMPBFCT-ND		7799417	59M8297	1663779
C16	1										
U2	1	MCP73831 SOT-23-5-2.8mm thermal		MCP73831			MCP73831T-2ATI/OTCT-ND	MCP738315ACI/MC	8231114	84R6271	1834890
D1, D2	2	D D Diode SMA Standard		ES1D			ES1DFSCT-ND	ES1DL	7965799	51T4897	1466524
U3	1	ATmega32U4-AU TQFP-44 10x10mm Pitch0.8mm		ATmega32U4-AU		ATmega32U4-AU	ATMEGA32U4-AURCT-ND	ATMEGA32U4AUR	7153805	68T2839	2443182
F1, F2	2	500mA Fuse 0603	TE Connectivity	0603SFF050F/32-2		TE Connectivity 0603SFF050F/32-2	0603SFF050F/32CT-ND	MFU0603FF00500P100	8207108	01P9426	1717227
U4	1	WT12-A sf-bluegiga-WT12-A		WT12-A-AI3		WT12-A-AI3	1446-1019-ND				
FID1, FID2, FID3, FID4	4										
U5	1	LSM6DS3 LGA14L		LSM6DS3		LSM6DS3	497-15383-1-ND	511LSM6DS3TR			2474253
H1, H2, H3, H4	4										
U6	1										
JP1, JP2, JP3	3										
L1	1			WE-CNSW-0603		WE-CNSW-0603					
L2	1	INDUCTOR SMALL 1k@100MHz R 0603	Murata	BLM18TG102TN1D		Murata BLM18TG102TN1D	490-9701-1-ND	9691115051	7926287	08R5987	1115051
LED1	1			150141M173100		150141M173100	732-4998-1-ND	150141M173100	8154332	95W3815	2322115
LED2, LED3, LED4, LED5	4	LED 0805		HSMS-C170		HSMS-C170					5790839
P1	1										
P2	1	USB OTG USB OTG micro/mini connector USB B Vertical						5381051330001			
P3	1										
P4	1										
P7	1										
P8	1										
Q1	1	IRF7309IPBF 30V Vds, 3A Id, Dual HEXFET MOSFET, SO-8 SOIC-8 3.9x4.9mm Pitch1.27mm		IRF7309IPBF			IRF7309PBFDKR-ND	IRF7309PBF	9195009	19K8239	2468006
Q2	1			PMV65XPEA			568-12596-1-ND			68Y7844	2498581
Q3	1										
R1, R5, R13, R14, R15, R16, R23	7	10k  0603		AVX NB21K00103JBB		AVX NB21K00103JBB	490-2436-1-ND	NCP18XH103J03RB	6197740	33P7715	2502397
R2, R4	2	100k  0603		AVX NB21N50104KBB			RHM100KHCT-ND	06035C100KAT2A	9013648	33P7726	2073357
R3	1	300k  0603	Multicomp	MCMR06X304 JTL			P300KDBCT-ND	ERJPA3F3003V	8739412	65T8626	1652871
R6	1	3k4  0603	Panasonic	ERA-3AEB3401V			P3.4KDBCT-ND	06035C103K4T4A	6983210	94W2890	2138388
R7	1	1M  0603	Multicomp	MCMR06X105 JTL		Multicomp MCMR06X105 JTL	MCT0603-1.00M-CFCT-ND	RC0603FR071ML	7325668	06X5971	9238840
R8, R9, R10	3	180  0603	AVX	06035A181JAT2A		AVX 06035A181JAT2A	478-1178-1-ND	06035C181KAT2A		95W9180	
